Model,Background,FPS,FPS Std Dev,DPS,DPS Std Dev,Accuracy,Accuracy Std Dev,F1 Score,F1 Score Std Dev
YOLO,Clean,29.37,3.64,29.37,3.64,0.86,0.07,0.93,0.04
ArUco 25%,Clean,6.57,7.73,6.57,7.73,0.11,0.13,0.18,0.19
ArUco 50%,Clean,20.47,3.98,20.47,3.98,0.35,0.07,0.51,0.08
ArUco 75%,Clean,21.77,4.94,21.77,4.94,0.37,0.09,0.54,0.1
ArUco 100%,Clean,22.44,3.1,22.44,3.1,0.38,0.05,0.55,0.05
YOLO,Noisy,16.5,3.56,16.5,3.56,0.69,0.19,0.81,0.13
ArUco 25%,Noisy,7.71,9.36,7.71,9.36,0.16,0.2,0.23,0.26
ArUco 50%,Noisy,15.16,1.89,15.16,1.89,0.3,0.06,0.46,0.06
ArUco 75%,Noisy,16.89,6.7,16.89,6.7,0.34,0.13,0.5,0.12
ArUco 100%,Noisy,16.24,2.85,16.24,2.85,0.33,0.05,0.49,0.06
