Model,Lighting,FPS,FPS Std Dev,DPS,DPS Std Dev,Accuracy,Accuracy Std Dev,F1 Score,F1 Score Std Dev
YOLO,Bright,21.81,7.4,21.81,7.4,0.8,0.21,0.87,0.14
ArUco 25%,Bright,2.29,3.14,2.29,3.14,0.04,0.06,0.07,0.1
ArUco 50%,Bright,18.75,4.59,18.75,4.59,0.35,0.07,0.51,0.07
ArUco 75%,Bright,17.81,6.1,17.81,6.1,0.34,0.09,0.5,0.1
ArUco 100%,Bright,18.53,5.23,18.53,5.23,0.35,0.06,0.51,0.07
YOLO,Dark,24.07,8.22,24.07,8.22,0.76,0.13,0.86,0.09
ArUco 25%,Dark,11.98,9.06,11.98,9.06,0.22,0.18,0.34,0.23
ArUco 50%,Dark,16.87,3.63,16.87,3.63,0.3,0.05,0.46,0.07
ArUco 75%,Dark,20.84,6.39,20.84,6.39,0.37,0.12,0.53,0.12
ArUco 100%,Dark,20.15,3.46,20.15,3.46,0.37,0.04,0.54,0.05
